customerid,Recency,Frequency,Monetary,Cluster
12494.0,16,7,1246.1000000000001,3
12497.0,82,1,1043.1,1
12498.0,21,3,403.70000000000005,0
12500.0,23,11,4257.82,3
12501.0,337,1,2169.39,1
12502.0,96,5,3723.87,1
12504.0,18,2,482.04999999999995,0
12506.0,233,1,73.5,2
12507.0,134,3,1304.81,1
12508.0,26,2,397.88,0
12509.0,284,1,176.5,2
12510.0,143,2,982.5699999999999,1
12512.0,66,2,132.18,2
12513.0,113,1,612.29,2
12514.0,267,1,1017.68,2
12515.0,353,1,383.7,2
12516.0,78,2,1312.06,1
12517.0,28,5,2481.6,1
12518.0,1,5,2056.89,3
12519.0,64,1,330.84,2
12520.0,79,5,2634.26,1
12521.0,143,1,599.68,2
12522.0,39,2,192.72,0
12523.0,19,11,1789.77,3
12524.0,9,8,4485.72,3
12526.0,1,3,1316.66,3
12527.0,82,3,348.71000000000004,2
12528.0,9,6,1933.48,3
12530.0,60,4,1662.28,1
12531.0,15,1,125.22,0
12532.0,30,1,349.83000000000004,0
12534.0,131,1,1089.18,1
12535.0,92,2,716.35,1
12536.0,43,3,4695.527600000068,1
12538.0,29,1,363.95,0
12539.0,22,4,5568.35,3
12540.0,20,17,13400.24,3
12541.0,30,3,981.18,1
12544.0,36,1,372.7,0
12545.0,75,2,1000.39,1
12546.0,47,2,1161.5,1
12547.0,198,2,207.79999999999998,2
12548.0,166,1,95.19999999999999,2
12550.0,79,1,964.83,1
12551.0,358,1,168.0,2
12552.0,39,2,437.82,0
12553.0,8,10,3692.28,3
12556.0,50,2,599.56,1
12557.0,16,5,11990.960000000001,3
12558.0,8,1,269.96,0
12559.0,311,2,561.71,2
12560.0,5,3,2134.01,3
12561.0,303,1,238.85,2
12562.0,8,7,3781.7400000000002,3
12564.0,261,1,456.9,2
12565.0,289,1,145.92,2
12566.0,86,1,351.65,2
12567.0,23,10,9401.28,3
12569.0,2,32,4124.69,3
12571.0,40,2,519.61,0
12572.0,9,2,1020.42,0
12573.0,227,1,160.54000000000002,2
12574.0,316,1,218.45,2
12576.0,36,5,1315.83,1
12577.0,35,3,626.6,0
12578.0,21,2,2794.51,1
12579.0,78,1,440.42,2
12580.0,247,1,415.7,2
12581.0,40,1,197.71,0
12582.0,239,2,511.36,2
12583.0,3,15,7281.38,3
12584.0,4,9,2338.15,3
12585.0,234,2,2040.1,1
12586.0,17,1,196.94000000000003,0
12587.0,8,1,144.0,0
12588.0,39,1,214.89999999999998,0
12589.0,29,2,646.68,0
12590.0,211,2,9549.168800000034,1
12591.0,317,1,452.84999999999997,2
12592.0,92,2,437.6,2
12593.0,109,3,418.09999999999997,2
12594.0,38,10,3338.2200000000003,1
12596.0,51,2,618.27,1
12597.0,19,4,3811.22,3
12598.0,10,8,3023.08,3
12599.0,29,7,1032.58,1
12600.0,29,10,2599.04,1
12601.0,190,5,577.0600000000001,2
12602.0,59,1,153.12,2
12603.0,22,1,739.1999999999999,0
12604.0,79,2,254.18,2
12607.0,60,1,1579.51,1
12609.0,78,3,1126.85,1
12610.0,23,5,2099.54,1
12611.0,52,1,1193.32,1
12612.0,74,1,704.0400000000001,1
12613.0,57,5,3344.38,1
12614.0,278,1,315.6,2
12615.0,2,4,2291.19,3
12616.0,95,2,713.3,1
12617.0,29,1,352.98,0
12618.0,22,1,177.31,0
12619.0,16,9,3459.4688000000338,3
12620.0,15,3,1339.41,0
12621.0,2,20,13689.67,3
12622.0,232,1,180.1,2
12623.0,276,1,305.1,2
12624.0,106,2,641.13,1
12625.0,212,2,2683.82,1
12626.0,23,9,6620.48,3
12627.0,11,7,4478.53,3
12628.0,4,3,786.46,0
12630.0,10,2,1270.88,0
12631.0,57,1,640.5,1
12633.0,59,4,2163.98,1
12635.0,90,2,1689.18,1
12637.0,67,8,6002.9,1
12638.0,33,1,671.69,0
12639.0,239,1,486.1,2
12640.0,24,3,1174.58,1
12641.0,115,1,185.9,2
12642.0,25,3,1013.26,1
12643.0,128,6,3344.64,1
12644.0,130,1,477.91,2
12645.0,34,4,1775.18,1
12646.0,5,2,1346.97,3
12647.0,22,12,3722.82,3
12648.0,155,1,318.05,2
12649.0,107,3,623.51,1
12650.0,3,1,314.44,0
12651.0,335,1,114.0,2
12652.0,331,1,919.98,2
12653.0,149,2,2209.85,1
12654.0,11,5,601.98,0
12656.0,17,5,4051.17,3
12657.0,11,4,1643.18,3
12658.0,19,1,686.05,0
12659.0,30,1,91.68,0
12660.0,11,1,245.1,0
12662.0,1,11,3849.78,3
12664.0,8,9,4881.88,3
12665.0,325,1,63.0,2
12667.0,58,1,620.13,1
12668.0,12,4,3807.15,3
12669.0,151,3,1815.6388000000338,1
12670.0,10,5,2996.05,3
12672.0,330,1,225.89999999999998,2
12673.0,5,2,610.52,0
12674.0,39,4,1970.6,1
12676.0,25,6,1331.39,1
12678.0,42,12,17628.46,3
12679.0,59,4,1113.02,1
12680.0,1,4,862.81,3
12681.0,15,22,13787.54,3
12682.0,4,31,12279.82,3
12683.0,4,15,8476.57,3
12684.0,8,7,2283.63,3
12685.0,28,6,2863.08,1
12686.0,372,1,89.14,2
12688.0,114,1,4873.8099999999995,1
12689.0,26,2,1247.61,1
12690.0,206,1,389.01,2
12691.0,28,6,1035.8,1
12693.0,127,4,855.91,1
12694.0,70,2,869.67,1
12695.0,7,4,582.1,0
12697.0,29,3,957.59,1
12700.0,8,4,4939.99,3
12701.0,80,2,797.71,1
12702.0,20,1,219.0,0
12703.0,71,1,283.55,2
12704.0,7,8,2340.84,3
12705.0,15,9,6868.29,3
12707.0,292,1,603.42,2
12708.0,30,10,2712.91,1
12709.0,15,15,9706.52,3
12710.0,97,3,1149.02,1
12712.0,29,13,4396.13,3
12713.0,1,1,848.55,0
12714.0,9,5,4708.86,3
12715.0,106,1,343.36,2
12716.0,4,2,1053.49,0
12717.0,151,2,1030.98,1
12718.0,71,1,238.25,2
12719.0,5,2,644.95,0
12720.0,3,25,5781.73,3
12721.0,32,6,2656.13,1
12722.0,85,4,997.63,1
12723.0,4,5,725.07,0
12724.0,5,4,1031.41,3
12725.0,371,1,427.8,2
12726.0,28,7,2609.1,1
12727.0,11,7,3980.7,3
12728.0,71,4,836.33,1
12729.0,114,1,453.01,2
12731.0,24,12,18895.91,3
12732.0,180,1,236.26000000000002,2
12733.0,234,1,383.95,2
12734.0,353,1,110.39999999999999,2
12735.0,315,2,779.5699999999999,2
12736.0,333,1,234.0,2
12738.0,372,1,155.35,2
12739.0,78,2,1013.04,1
12740.0,64,1,427.6,2
12743.0,134,2,540.13,2
12744.0,52,7,10530.442800000203,1
12747.0,2,11,4196.01,3
12748.0,1,209,32218.507600000066,3
12749.0,4,5,4090.88,3
12750.0,129,1,275.88,2
12752.0,81,1,4366.78,1
12753.0,23,6,21429.39,3
12754.0,236,3,3010.74,1
12755.0,281,2,3811.95,1
12756.0,87,1,112.07999999999998,2
12757.0,16,13,5066.885200000135,3
12758.0,117,2,2791.59,1
12759.0,52,3,1531.44,1
12762.0,8,2,1898.52,3
12763.0,138,2,494.08,2
12764.0,317,1,1693.88,1
12766.0,4,7,6989.63,3
12769.0,239,1,1143.6,2
12770.0,211,1,1351.45,1
12772.0,60,1,892.47,1
12775.0,17,5,1386.04,1
12778.0,20,6,822.23,0
12779.0,38,8,3981.36,1
12781.0,64,2,826.74,1
12782.0,5,5,2330.92,3
12783.0,2,6,2019.6876000000677,3
12784.0,9,2,532.8199999999999,0
12785.0,364,1,311.95,2
12787.0,10,3,463.66,0
12789.0,65,1,91.85,2
12790.0,192,1,324.92,2
12791.0,374,1,192.60000000000002,2
12792.0,257,1,400.53999999999996,2
12793.0,335,2,545.48,2
12794.0,53,2,860.41,1
12795.0,19,1,430.48,0
12797.0,366,1,254.03,2
12798.0,10,3,6977.04,3
12802.0,187,1,427.58,2
12808.0,37,3,483.65000000000003,0
12809.0,178,1,489.31,2
12811.0,261,3,514.85,2
12812.0,45,1,229.64000000000001,0
12814.0,102,1,125.92,2
12815.0,148,2,1063.46,1
12816.0,96,2,572.2,2
12817.0,281,1,166.04,2
12818.0,262,1,1542.08,1
12820.0,3,4,942.34,3
12821.0,214,1,92.72,2
12822.0,71,2,948.88,1
12823.0,75,5,1759.5,1
12824.0,60,1,397.12,2
12826.0,3,7,1474.72,3
12827.0,6,3,430.15000000000003,0
12828.0,3,6,1018.71,3
12829.0,337,2,293.0,2
12830.0,38,6,6814.64,1
12831.0,262,1,215.05,2
12832.0,32,2,383.03,0
12833.0,145,1,417.38,2
12834.0,283,1,312.38,2
12836.0,59,4,2610.36,1
12837.0,173,1,134.1,2
12838.0,34,2,671.95,0
12839.0,3,14,5591.42,3
12840.0,144,4,2726.77,1
12841.0,5,25,3991.58,3
12842.0,70,2,1118.99,1
12843.0,66,8,1702.26,1
12844.0,29,2,325.96000000000004,0
12845.0,267,4,354.09,2
12847.0,22,1,843.64,0
12849.0,31,2,1010.29,1
12851.0,97,1,131.81,2
12852.0,295,1,311.55,2
12853.0,135,6,1957.1000000000001,1
12854.0,79,3,1316.25,1
12855.0,373,1,38.1,2
12856.0,8,6,2170.78,3
12857.0,211,2,1106.4,1
12863.0,52,1,521.2,0
12864.0,138,1,147.12,2
12865.0,26,2,1568.23,1
12866.0,283,1,559.12,2
12867.0,26,7,4009.34,3
12868.0,186,6,1607.0600000000002,1
12871.0,84,2,380.64,2
12872.0,327,2,599.97,2
12873.0,282,1,374.0,2
12875.0,143,2,343.2300000000001,2
12876.0,58,2,2218.02,1
12877.0,4,12,1535.77,3
12878.0,236,2,854.99,2
12879.0,45,3,573.22,1
12881.0,276,1,298.0,2
12882.0,9,2,1463.04,0
12883.0,25,4,703.47,0
12884.0,88,1,309.05,2
12885.0,63,3,1175.22,1
12886.0,68,2,1378.4,1
12888.0,214,2,354.12,2
12890.0,24,1,376.71999999999997,0
12891.0,186,3,331.0,2
12893.0,31,1,176.55,0
12895.0,42,2,372.8,0
12897.0,205,2,216.5,2
12901.0,9,28,17654.54,3
12902.0,265,1,138.68,2
12904.0,18,2,496.06,0
12906.0,12,5,2919.81,3
12908.0,176,2,750.0,2
12909.0,40,5,2178.67,1
12910.0,23,8,3075.04,3
12912.0,3,5,1662.3,3
12913.0,5,5,2483.63,3
12915.0,149,2,363.65,2
12916.0,139,4,2944.95,1
12917.0,128,1,594.0,2
12919.0,8,6,1335.19,3
12920.0,17,1,162.78,0
12921.0,9,37,16587.09,3
12922.0,161,1,405.38,2
12923.0,64,1,172.82,2
12924.0,88,4,933.7,1
12925.0,5,2,694.05,0
12928.0,35,5,2062.7000000000003,1
12929.0,312,1,117.85,2
12930.0,78,2,415.8,2
12931.0,22,15,42055.96,3
12933.0,24,3,607.53,0
12935.0,2,7,2160.7,3
12936.0,17,4,1063.9,0
12937.0,15,4,1504.27,1
12938.0,26,1,114.14,0
12939.0,64,8,11581.8,1
12940.0,55,2,899.69,1
12942.0,131,3,675.6,1
12944.0,36,2,604.51,0
12945.0,288,1,462.95,2
12947.0,144,6,1603.99,1
12948.0,16,7,2064.95,3
12949.0,31,8,4167.22,1
12950.0,2,3,1843.0,3
12951.0,9,6,1064.07,3
12952.0,6,4,1387.79,3
12953.0,10,1,329.85,0
12955.0,1,11,4757.16,3
12956.0,306,1,108.07,2
12957.0,10,8,4017.54,3
12962.0,7,2,266.39,0
12963.0,8,8,1856.63,3
12965.0,89,1,769.8100000000001,1
12966.0,10,1,160.18,0
12967.0,358,2,1660.9,1
12968.0,112,1,135.95,2
12970.0,7,4,405.47,0
12971.0,4,86,11189.91,3
12974.0,198,1,144.8,2
12976.0,212,1,738.6,2
12977.0,156,1,39.239999999999995,2
12980.0,158,9,7374.900000000001,1
12981.0,30,2,372.21999999999997,0
12982.0,243,1,390.54,2
12984.0,19,1,97.5,0
12985.0,1,2,1239.38,3
12987.0,74,2,558.7,1
12988.0,292,1,505.82,2
12989.0,3,15,6924.110000000001,3
12990.0,31,3,409.5,0
12991.0,23,2,503.76,0
12993.0,23,4,414.76,0
12994.0,4,3,974.4200000000001,0
12995.0,85,1,211.32,2
12997.0,22,4,1226.89,1
12999.0,196,3,455.88,2
13000.0,107,3,534.85,2
13001.0,4,13,9785.970000000001,3
13002.0,318,1,120.94999999999999,2
13003.0,106,3,149.05,2
13004.0,12,18,5655.91,3
13005.0,174,2,513.7,2
13006.0,56,1,81.57,2
13008.0,323,1,229.46999999999997,2
13011.0,372,1,50.550000000000004,2
13012.0,9,8,1646.8400000000001,3
13013.0,1,13,4810.9400000000005,3
13014.0,11,10,3466.2799999999997,3
13015.0,53,5,3252.5488000000337,1
13016.0,73,3,789.89,1
13017.0,7,1,204.0,0
13018.0,16,28,7277.7,3
13021.0,4,9,2616.38,3
13023.0,64,2,689.9,1
13026.0,1,5,975.36,3
13027.0,114,6,6912.0,1
13028.0,23,2,661.3199999999999,0
13029.0,31,3,1247.5,1
13030.0,11,2,752.4399999999999,0
13032.0,52,2,1010.18,1
13033.0,357,1,190.55,2
13034.0,55,2,642.77,1
13035.0,74,2,921.88,1
13037.0,138,3,881.07,1
13038.0,80,3,908.46,1
13040.0,9,2,676.99,0
13043.0,273,1,516.42,2
13044.0,291,1,560.47,2
13045.0,99,1,305.28000000000003,2
13046.0,31,2,629.31,0
13047.0,32,10,3237.54,1
13048.0,14,4,1819.41,3
13049.0,64,2,656.6800000000001,1
13050.0,15,17,5836.86,3
13052.0,212,1,348.15000000000003,2
13055.0,78,3,1214.41,1
13058.0,25,3,271.40000000000003,0
13059.0,250,1,183.4,2
13060.0,254,1,307.53,2
13061.0,72,1,248.61,2
13062.0,191,1,346.98,2
13064.0,13,4,1105.59,0
13065.0,373,1,205.86,2
13066.0,24,2,470.8,0
13067.0,82,1,115.46000000000001,2
13068.0,10,2,344.0,0
13069.0,1,24,4431.44,3
13070.0,192,1,228.8,2
13072.0,267,1,177.15,2
13075.0,130,1,919.61,1
13077.0,1,4,728.02,3
13078.0,3,26,12627.94,3
13079.0,4,5,220.10000000000002,0
13080.0,179,1,58.08,2
13081.0,12,11,28337.38,3
13082.0,126,9,3613.63,1
13083.0,4,2,303.75,0
13085.0,158,2,416.08000000000004,2
13089.0,3,97,58762.08,3
13090.0,9,14,8910.82,3
13091.0,28,1,345.82,0
13092.0,71,5,477.83,1
13093.0,276,8,7832.47,1
13094.0,21,12,1927.3200000000002,3
13095.0,71,1,74.39999999999999,2
13097.0,33,10,6003.22,3
13098.0,1,28,28882.44,3
13099.0,99,1,207.35999999999999,2
13101.0,234,1,101.19,2
13102.0,1,24,6424.09,3
13103.0,40,1,243.94,0
13104.0,3,6,1098.48,3
13106.0,133,1,76.5,2
13107.0,44,4,1531.6200000000001,1
13108.0,373,1,350.06,2
13109.0,60,2,786.54,1
13110.0,31,7,1488.67,1
13113.0,1,24,12245.960000000001,3
13115.0,12,4,2294.78,3
13116.0,138,1,501.14,2
13117.0,22,8,984.91,1
13118.0,20,5,1197.81,1
13120.0,239,1,30.599999999999998,2
13121.0,269,1,283.73,2
13122.0,94,2,922.39,1
13124.0,90,3,3756.33,1
13126.0,5,8,2099.64,3
13127.0,78,1,259.17,2
13130.0,94,1,64.0,2
13131.0,23,3,1073.3,1
13132.0,262,1,77.3,2
13133.0,274,2,109.8,2
13134.0,86,4,1793.58,1
13135.0,197,1,3096.0,1
13136.0,56,5,2607.61,1
13137.0,11,8,3603.29,3
13138.0,22,6,962.39,1
13139.0,16,7,5064.94,3
13140.0,108,3,422.47,2
13141.0,85,5,2388.75,1
13142.0,19,1,307.09,0
13144.0,333,1,110.95,2
13145.0,40,4,531.4288000000338,0
13146.0,26,1,228.91,0
13147.0,10,4,712.8000000000001,0
13148.0,29,12,3683.26,3
13149.0,14,4,1676.06,3
13151.0,296,1,1257.8700000000001,2
13153.0,6,1,486.22,0
13155.0,33,4,971.76,1
13157.0,49,4,1741.22,1
13158.0,95,4,1201.06,1
13159.0,9,4,1429.35,3
13160.0,22,1,91.8,0
13161.0,313,1,112.75,2
13162.0,122,4,1688.29,1
13165.0,46,2,1021.48,1
13166.0,283,1,417.2,2
13167.0,19,4,791.33,0
13168.0,36,4,1299.59,1
13169.0,64,2,712.88,1
13170.0,27,1,108.81,0
13171.0,22,3,468.41,0
13173.0,4,2,353.65,0
13174.0,16,3,2742.82,3
13176.0,46,1,481.49,0
13177.0,65,1,282.45,2
13178.0,26,11,5725.47,3
13182.0,45,1,121.18,0
13183.0,8,9,3957.78,3
13184.0,15,10,1668.95,3
13185.0,268,1,71.4,2
13186.0,40,3,1575.89,1
13187.0,337,1,236.02,2
13188.0,11,1,114.60000000000001,0
13189.0,19,2,260.68,0
13192.0,95,2,911.94,1
13193.0,61,1,112.08,2
13194.0,136,1,60.7,2
13196.0,11,4,1797.78,3
13198.0,10,6,3401.2400000000002,3
13199.0,4,38,9817.12,3
13200.0,19,4,870.09,0
13203.0,10,4,869.46,0
13207.0,15,2,250.26000000000002,0
13208.0,59,6,1217.65,1
13209.0,30,8,5891.61,3
13210.0,94,1,353.48,2
13211.0,10,3,1095.42,0
13212.0,20,3,786.83,0
13213.0,57,5,1520.58,1
13216.0,268,1,333.74,2
13217.0,122,3,533.98,2
13218.0,127,1,62.63999999999999,2
13220.0,78,4,819.2900000000001,1
13221.0,240,2,847.41,2
13223.0,200,2,163.20000000000002,2
13224.0,60,2,2155.95,1
13225.0,3,7,6463.84,3
13226.0,273,1,108.21000000000001,2
13227.0,202,1,257.7,2
13228.0,81,1,358.0,2
13229.0,226,1,160.95,2
13230.0,4,14,2755.63,3
13232.0,13,7,1328.35,3
13233.0,74,2,605.12,1
13235.0,212,1,1031.07,2
13236.0,25,2,744.85,0
13238.0,17,4,700.73,0
13239.0,262,1,329.56,2
13240.0,96,4,663.65,1
13242.0,112,3,270.40000000000003,2
13243.0,203,1,585.12,2
13244.0,93,1,121.74000000000001,2
13245.0,51,1,430.5,0
13246.0,18,6,1961.52,3
13247.0,18,4,501.12,0
13248.0,125,2,465.68,2
13249.0,92,3,711.41,1
13253.0,157,2,1030.4,1
13255.0,9,2,399.51,0
13258.0,12,3,672.83,0
13259.0,62,1,283.18,2
13260.0,61,1,557.62,1
13261.0,269,2,944.1,2
13262.0,263,1,200.29,2
13263.0,1,35,7436.93,3
13265.0,53,5,2092.66,1
13266.0,11,12,3834.2599999999998,3
13267.0,3,19,4521.49,3
13268.0,18,11,3174.75,3
13269.0,1,15,5343.28,3
13270.0,366,1,590.0,2
13271.0,37,1,211.49,0
13272.0,31,2,276.56,0
13273.0,113,1,138.98,2
13276.0,64,2,590.9300000000001,1
13277.0,16,4,258.4,0
13278.0,41,1,542.73,0
13279.0,78,1,137.75,2
13280.0,122,3,798.46,1
13282.0,18,3,1132.14,0
13283.0,60,2,93.66,2
13284.0,331,1,201.19,2
13285.0,23,4,2709.12,1
13291.0,156,1,361.11,2
13292.0,39,2,578.9399999999999,0
13294.0,190,2,873.74,2
13295.0,360,1,201.20000000000002,2
13296.0,137,1,87.4,2
13297.0,8,4,2089.85,3
13298.0,1,1,360.0,0
13299.0,268,1,142.5,2
13300.0,169,1,371.89,2
13301.0,104,4,618.09,1
13302.0,155,1,63.75,2
13304.0,351,1,300.42,2
13305.0,4,10,2000.86,3
13307.0,120,1,15.0,2
13308.0,23,3,1385.51,1
13309.0,7,5,1456.79,3
13310.0,28,3,1132.03,1
13311.0,4,2,598.57,0
13313.0,22,5,1555.32,1
13314.0,2,3,775.94,0
13316.0,37,4,5732.93,1
13317.0,66,6,2273.68,1
13318.0,1,3,640.76,0
13319.0,5,26,10845.550000000001,3
13320.0,78,4,1532.2,1
13321.0,72,2,567.36,1
13322.0,17,1,199.48000000000002,0
13323.0,3,5,787.85,3
13324.0,36,10,7121.95,3
13325.0,82,1,675.3,1
13327.0,39,8,3627.77,1
13328.0,316,1,1308.48,2
13329.0,32,2,789.0,0
13330.0,93,3,1140.93,1
13332.0,14,1,350.9,0
13334.0,82,3,3502.32,1
13336.0,77,1,795.12,1
13338.0,158,1,487.02,2
13339.0,201,1,860.12,2
13340.0,45,7,10736.48,3
13341.0,261,1,775.85,2
13343.0,178,1,353.43,2
13344.0,68,3,2511.69,1
13345.0,288,1,389.5,2
13347.0,70,1,341.36,2
13348.0,64,1,233.76,2
13349.0,11,1,247.32,0
13350.0,16,2,979.12,0
13351.0,66,1,373.94,2
13352.0,60,1,397.97999999999996,2
13354.0,71,1,743.53,1
13355.0,122,1,674.7,2
13356.0,80,1,768.24,1
13357.0,257,1,609.4,2
13358.0,269,1,439.03,2
13359.0,64,1,439.56,2
13362.0,9,4,3090.7400000000002,3
13363.0,18,2,992.5,0
13364.0,71,1,134.95999999999998,2
13365.0,34,2,2225.37,1
13366.0,50,1,56.160000000000004,2
13368.0,257,2,623.4,2
13369.0,366,1,308.28000000000003,2
13370.0,372,1,754.87,2
13372.0,90,1,378.64,2
13373.0,61,3,3312.25,1
13375.0,89,1,778.65,1
13376.0,99,3,1019.76,1
13379.0,26,3,572.56,0
13381.0,32,6,3639.31,1
13382.0,281,1,222.99,2
13384.0,31,7,4151.93,1
13385.0,330,1,534.57,2
13388.0,131,2,677.1,2
13389.0,11,3,797.96,0
13390.0,75,1,544.08,2
13391.0,204,1,59.8,2
13394.0,2,8,2520.02,3
13395.0,185,1,307.72,2
13396.0,29,2,1360.99,1
13397.0,73,5,1544.13,1
13398.0,192,1,457.34,2
13402.0,127,2,621.23,2
13403.0,18,1,75.0,0
13404.0,1,2,252.49,0
13405.0,74,3,572.451,1
13408.0,2,62,28117.04,3
13410.0,24,5,1003.06,1
13411.0,107,1,213.55,2
13414.0,134,3,1390.5,1
13416.0,44,2,712.5,1
13417.0,5,2,640.83,0
13418.0,12,18,6127.43,3
13419.0,64,1,221.06,2
13420.0,150,2,159.85,2
13421.0,40,2,1833.71,1
13422.0,64,1,2626.3,1
13425.0,108,3,1624.21,1
13426.0,1,10,3641.32,3
13427.0,19,3,582.6,0
13428.0,10,1,201.78,0
13429.0,11,4,1006.8,0
13430.0,19,2,679.45,0
13431.0,67,2,1269.1,1
13434.0,74,2,534.24,1
13435.0,5,7,3809.8900000000003,3
13436.0,2,1,196.89,0
13437.0,14,7,3408.06,3
13439.0,255,1,283.71,2
13441.0,92,1,296.64,2
13447.0,23,3,1129.14,1
13448.0,17,6,3534.69,3
13449.0,24,1,291.88,0
13450.0,27,6,2043.7199999999998,1
13451.0,26,5,2898.2599999999998,1
13452.0,259,2,415.8176000000676,2
13453.0,166,2,356.97999999999996,2
13455.0,25,2,1058.34,1
13456.0,18,6,1766.72,3
13458.0,7,14,9646.57,3
13460.0,29,2,183.44,0
13461.0,39,3,1445.0,1
13462.0,253,1,151.5,2
13464.0,58,1,674.68,1
13466.0,184,1,307.9,2
13467.0,11,2,1071.91,0
13468.0,2,37,5704.97,3
13470.0,99,2,165.0,2
13471.0,1,4,2501.84,3
13473.0,61,2,422.64,2
13474.0,236,1,226.84,2
13475.0,191,4,1431.78,1
13476.0,179,2,1238.47,1
13477.0,38,6,1454.58,1
13479.0,201,2,300.95,2
13481.0,46,5,1804.56,1
13482.0,232,1,184.64,2
13483.0,66,1,140.34,2
13484.0,241,1,313.8,2
13485.0,233,1,454.24,2
13486.0,78,3,1122.41,1
13487.0,58,3,575.4,1
13488.0,17,13,8968.31,3
13489.0,105,4,449.52,2
13491.0,52,10,1215.82,1
13492.0,136,3,1269.84,1
13493.0,275,2,618.63,2
13494.0,312,1,316.26000000000005,2
13495.0,8,5,2044.8700000000001,3
13496.0,11,2,653.33,0
13497.0,283,2,348.05,2
13499.0,18,5,1159.11,1
13500.0,23,3,1166.77,1
13501.0,288,1,1340.32,2
13502.0,17,3,292.0,0
13503.0,71,1,216.85,2
13504.0,64,1,295.93,2
13505.0,73,4,4393.63,1
13506.0,316,2,458.52,2
13507.0,3,4,2479.16,3
13508.0,244,1,110.97,2
13509.0,9,7,979.72,3
13510.0,1,4,1791.56,3
